09:21:54.944626 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3137509263:3137509351, ack 1695189999, win 913, options [nop,nop,TS val 424905307 ecr 40267142], length 88
09:27:06.652088 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27426:27514, ack 1, win 913, options [nop,nop,TS val 425217070 ecr 40345068], length 88
09:27:07.654909 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27514:27602, ack 1, win 913, options [nop,nop,TS val 425218073 ecr 40345319], length 88
09:27:08.656689 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27602:27690, ack 1, win 913, options [nop,nop,TS val 425219075 ecr 40345570], length 88
09:27:09.658527 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27690:27778, ack 1, win 913, options [nop,nop,TS val 425220077 ecr 40345820], length 88
09:27:10.660278 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27778:27866, ack 1, win 913, options [nop,nop,TS val 425221079 ecr 40346071], length 88
09:27:11.662141 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27866:27954, ack 1, win 913, options [nop,nop,TS val 425222081 ecr 40346321], length 88
09:27:12.663928 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 27954:28042, ack 1, win 913, options [nop,nop,TS val 425223083 ecr 40346571], length 88
09:27:13.665739 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28042:28130, ack 1, win 913, options [nop,nop,TS val 425224085 ecr 40346822], length 88
09:27:14.667511 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28130:28218, ack 1, win 913, options [nop,nop,TS val 425225087 ecr 40347072], length 88
09:27:15.670584 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28218:28306, ack 1, win 913, options [nop,nop,TS val 425226090 ecr 40347323], length 88
09:27:16.674258 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28306:28394, ack 1, win 913, options [nop,nop,TS val 425227094 ecr 40347574], length 88
09:27:17.677121 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28394:28482, ack 1, win 913, options [nop,nop,TS val 425228097 ecr 40347824], length 88
09:27:18.678954 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28482:28570, ack 1, win 913, options [nop,nop,TS val 425229099 ecr 40348075], length 88
09:27:19.680790 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28570:28658, ack 1, win 913, options [nop,nop,TS val 425230101 ecr 40348326], length 88
09:27:20.683563 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28658:28746, ack 1, win 913, options [nop,nop,TS val 425231104 ecr 40348576], length 88
09:27:21.686315 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28746:28834, ack 1, win 913, options [nop,nop,TS val 425232107 ecr 40348827], length 88
09:27:22.689313 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28834:28922, ack 1, win 913, options [nop,nop,TS val 425233110 ecr 40349077], length 88
09:27:23.691162 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 28922:29010, ack 1, win 913, options [nop,nop,TS val 425234112 ecr 40349328], length 88
09:27:24.692884 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29010:29098, ack 1, win 913, options [nop,nop,TS val 425235114 ecr 40349579], length 88
09:27:25.694668 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29098:29186, ack 1, win 913, options [nop,nop,TS val 425236116 ecr 40349829], length 88
09:27:26.697412 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29186:29274, ack 1, win 913, options [nop,nop,TS val 425237119 ecr 40350080], length 88
09:27:27.700282 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29274:29362, ack 1, win 913, options [nop,nop,TS val 425238122 ecr 40350330], length 88
09:27:28.702075 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29362:29450, ack 1, win 913, options [nop,nop,TS val 425239124 ecr 40350581], length 88
09:27:29.703927 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29450:29538, ack 1, win 913, options [nop,nop,TS val 425240126 ecr 40350831], length 88
09:27:30.706673 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29538:29626, ack 1, win 913, options [nop,nop,TS val 425241129 ecr 40351082], length 88
09:27:31.709585 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29626:29714, ack 1, win 913, options [nop,nop,TS val 425242132 ecr 40351333], length 88
09:27:32.711367 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29714:29802, ack 1, win 913, options [nop,nop,TS val 425243134 ecr 40351583], length 88
09:27:33.713161 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29802:29890, ack 1, win 913, options [nop,nop,TS val 425244136 ecr 40351834], length 88
09:27:34.714989 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29890:29978, ack 1, win 913, options [nop,nop,TS val 425245138 ecr 40352084], length 88
09:27:35.716744 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 29978:30066, ack 1, win 913, options [nop,nop,TS val 425246140 ecr 40352335], length 88
09:27:36.719569 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30066:30154, ack 1, win 913, options [nop,nop,TS val 425247143 ecr 40352585], length 88
09:27:37.721390 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30154:30242, ack 1, win 913, options [nop,nop,TS val 425248145 ecr 40352836], length 88
09:27:38.724316 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30242:30330, ack 1, win 913, options [nop,nop,TS val 425249148 ecr 40353086], length 88
09:27:39.726106 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30330:30418, ack 1, win 913, options [nop,nop,TS val 425250150 ecr 40353337], length 88
09:27:40.729034 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30418:30506, ack 1, win 913, options [nop,nop,TS val 425251153 ecr 40353587], length 88
09:27:41.731663 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30506:30594, ack 1, win 913, options [nop,nop,TS val 425252156 ecr 40353838], length 88
09:27:42.733474 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30594:30682, ack 1, win 913, options [nop,nop,TS val 425253158 ecr 40354089], length 88
09:27:43.736319 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30682:30770, ack 1, win 913, options [nop,nop,TS val 425254161 ecr 40354339], length 88
09:27:44.738235 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30770:30858, ack 1, win 913, options [nop,nop,TS val 425255163 ecr 40354590], length 88
09:27:45.741028 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30858:30946, ack 1, win 913, options [nop,nop,TS val 425256166 ecr 40354840], length 88
09:27:46.742914 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 30946:31034, ack 1, win 913, options [nop,nop,TS val 425257168 ecr 40355091], length 88
09:27:47.745652 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31034:31122, ack 1, win 913, options [nop,nop,TS val 425258171 ecr 40355342], length 88
09:27:48.748424 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31122:31210, ack 1, win 913, options [nop,nop,TS val 425259174 ecr 40355592], length 88
09:27:49.751224 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31210:31298, ack 1, win 913, options [nop,nop,TS val 425260177 ecr 40355843], length 88
09:27:50.753148 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31298:31386, ack 1, win 913, options [nop,nop,TS val 425261179 ecr 40356094], length 88
09:27:51.754918 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31386:31474, ack 1, win 913, options [nop,nop,TS val 425262181 ecr 40356344], length 88
09:27:52.757844 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31474:31562, ack 1, win 913, options [nop,nop,TS val 425263184 ecr 40356595], length 88
09:27:53.760548 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31562:31650, ack 1, win 913, options [nop,nop,TS val 425264187 ecr 40356845], length 88
09:27:54.762366 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31650:31738, ack 1, win 913, options [nop,nop,TS val 425265189 ecr 40357096], length 88
09:27:55.765383 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31738:31826, ack 1, win 913, options [nop,nop,TS val 425266192 ecr 40357347], length 88
09:27:56.767005 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31826:31914, ack 1, win 913, options [nop,nop,TS val 425267194 ecr 40357597], length 88
09:27:57.768817 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 31914:32002, ack 1, win 913, options [nop,nop,TS val 425268196 ecr 40357848], length 88
09:27:58.770570 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32002:32090, ack 1, win 913, options [nop,nop,TS val 425269198 ecr 40358098], length 88
09:27:59.772424 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32090:32178, ack 1, win 913, options [nop,nop,TS val 425270200 ecr 40358349], length 88
09:28:00.775354 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32178:32266, ack 1, win 913, options [nop,nop,TS val 425271203 ecr 40358599], length 88
09:28:01.777048 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32266:32354, ack 1, win 913, options [nop,nop,TS val 425272205 ecr 40358850], length 88
09:28:02.778842 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32354:32442, ack 1, win 913, options [nop,nop,TS val 425273207 ecr 40359100], length 88
09:28:03.781636 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32442:32530, ack 1, win 913, options [nop,nop,TS val 425274210 ecr 40359351], length 88
09:28:04.783472 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32530:32618, ack 1, win 913, options [nop,nop,TS val 425275212 ecr 40359601], length 88
09:28:05.786243 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32618:32706, ack 1, win 913, options [nop,nop,TS val 425276215 ecr 40359852], length 88
09:28:06.788271 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32706:32794, ack 1, win 913, options [nop,nop,TS val 425277217 ecr 40360102], length 88
09:28:07.790878 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32794:32882, ack 1, win 913, options [nop,nop,TS val 425278220 ecr 40360353], length 88
09:28:08.793737 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32882:32970, ack 1, win 913, options [nop,nop,TS val 425279223 ecr 40360604], length 88
09:28:09.795575 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 32970:33058, ack 1, win 913, options [nop,nop,TS val 425280225 ecr 40360854], length 88
09:28:10.798371 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33058:33146, ack 1, win 913, options [nop,nop,TS val 425281228 ecr 40361105], length 88
09:28:11.800200 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33146:33234, ack 1, win 913, options [nop,nop,TS val 425282230 ecr 40361356], length 88
09:28:12.803080 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33234:33322, ack 1, win 913, options [nop,nop,TS val 425283233 ecr 40361606], length 88
09:28:13.804827 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33322:33410, ack 1, win 913, options [nop,nop,TS val 425284235 ecr 40361857], length 88
09:28:14.807661 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33410:33498, ack 1, win 913, options [nop,nop,TS val 425285238 ecr 40362107], length 88
09:28:15.810491 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33498:33586, ack 1, win 913, options [nop,nop,TS val 425286241 ecr 40362358], length 88
09:28:16.813271 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33586:33674, ack 1, win 913, options [nop,nop,TS val 425287244 ecr 40362609], length 88
09:28:17.815096 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33674:33762, ack 1, win 913, options [nop,nop,TS val 425288246 ecr 40362859], length 88
09:28:18.817038 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33762:33850, ack 1, win 913, options [nop,nop,TS val 425289248 ecr 40363110], length 88
09:28:19.818856 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33850:33938, ack 1, win 913, options [nop,nop,TS val 425290250 ecr 40363360], length 88
09:28:20.820808 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 33938:34026, ack 1, win 913, options [nop,nop,TS val 425291252 ecr 40363611], length 88
09:28:21.823381 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34026:34114, ack 1, win 913, options [nop,nop,TS val 425292255 ecr 40363861], length 88
09:28:22.826251 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34114:34202, ack 1, win 913, options [nop,nop,TS val 425293258 ecr 40364112], length 88
09:28:23.828166 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34202:34290, ack 1, win 913, options [nop,nop,TS val 425294260 ecr 40364362], length 88
09:28:24.829851 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34290:34378, ack 1, win 913, options [nop,nop,TS val 425295262 ecr 40364613], length 88
09:28:25.831677 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34378:34466, ack 1, win 913, options [nop,nop,TS val 425296264 ecr 40364863], length 88
09:28:26.834475 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34466:34554, ack 1, win 913, options [nop,nop,TS val 425297267 ecr 40365114], length 88
09:28:27.836303 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34554:34642, ack 1, win 913, options [nop,nop,TS val 425298269 ecr 40365365], length 88
09:28:28.838169 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34642:34730, ack 1, win 913, options [nop,nop,TS val 425299271 ecr 40365615], length 88
09:28:29.841006 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34730:34818, ack 1, win 913, options [nop,nop,TS val 425300274 ecr 40365865], length 88
09:28:30.842696 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34818:34906, ack 1, win 913, options [nop,nop,TS val 425301276 ecr 40366116], length 88
09:28:31.844493 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34906:34994, ack 1, win 913, options [nop,nop,TS val 425302278 ecr 40366367], length 88
09:28:32.846361 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 34994:35082, ack 1, win 913, options [nop,nop,TS val 425303280 ecr 40366617], length 88
09:28:33.848142 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35082:35170, ack 1, win 913, options [nop,nop,TS val 425304282 ecr 40366868], length 88
09:28:34.851023 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35170:35258, ack 1, win 913, options [nop,nop,TS val 425305285 ecr 40367118], length 88
09:28:35.852828 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35258:35346, ack 1, win 913, options [nop,nop,TS val 425306287 ecr 40367369], length 88
09:28:36.855624 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35346:35434, ack 1, win 913, options [nop,nop,TS val 425307290 ecr 40367619], length 88
09:28:37.858451 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35434:35522, ack 1, win 913, options [nop,nop,TS val 425308293 ecr 40367870], length 88
09:28:38.860252 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35522:35610, ack 1, win 913, options [nop,nop,TS val 425309295 ecr 40368121], length 88
09:28:39.862330 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35610:35698, ack 1, win 913, options [nop,nop,TS val 425310297 ecr 40368371], length 88
09:28:40.864927 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35698:35786, ack 1, win 913, options [nop,nop,TS val 425311300 ecr 40368622], length 88
09:28:41.867693 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35786:35874, ack 1, win 913, options [nop,nop,TS val 425312303 ecr 40368872], length 88
09:28:42.870515 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35874:35962, ack 1, win 913, options [nop,nop,TS val 425313306 ecr 40369123], length 88
09:28:43.873374 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 35962:36050, ack 1, win 913, options [nop,nop,TS val 425314309 ecr 40369374], length 88
09:28:44.876207 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36050:36138, ack 1, win 913, options [nop,nop,TS val 425315312 ecr 40369624], length 88
09:28:45.879134 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36138:36226, ack 1, win 913, options [nop,nop,TS val 425316315 ecr 40369875], length 88
09:28:46.880960 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36226:36314, ack 1, win 913, options [nop,nop,TS val 425317317 ecr 40370126], length 88
09:28:47.882675 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36314:36402, ack 1, win 913, options [nop,nop,TS val 425318319 ecr 40370376], length 88
09:28:48.885561 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36402:36490, ack 1, win 913, options [nop,nop,TS val 425319322 ecr 40370627], length 88
09:28:49.887308 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36490:36578, ack 1, win 913, options [nop,nop,TS val 425320324 ecr 40370877], length 88
09:28:50.889383 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36578:36666, ack 1, win 913, options [nop,nop,TS val 425321326 ecr 40371128], length 88
09:28:51.893197 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36666:36754, ack 1, win 913, options [nop,nop,TS val 425322330 ecr 40371378], length 88
09:28:52.896846 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36754:36842, ack 1, win 913, options [nop,nop,TS val 425323334 ecr 40371629], length 88
09:28:53.899621 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36842:36930, ack 1, win 913, options [nop,nop,TS val 425324337 ecr 40371880], length 88
09:28:54.902433 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 36930:37018, ack 1, win 913, options [nop,nop,TS val 425325340 ecr 40372131], length 88
09:28:55.904259 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37018:37106, ack 1, win 913, options [nop,nop,TS val 425326342 ecr 40372382], length 88
09:28:56.907244 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37106:37194, ack 1, win 913, options [nop,nop,TS val 425327345 ecr 40372632], length 88
09:28:57.908871 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37194:37282, ack 1, win 913, options [nop,nop,TS val 425328347 ecr 40372883], length 88
09:28:58.910875 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37282:37370, ack 1, win 913, options [nop,nop,TS val 425329349 ecr 40373133], length 88
09:28:59.912572 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37370:37458, ack 1, win 913, options [nop,nop,TS val 425330351 ecr 40373384], length 88
09:29:00.914367 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37458:37546, ack 1, win 913, options [nop,nop,TS val 425331353 ecr 40373634], length 88
09:29:01.916307 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37546:37634, ack 1, win 913, options [nop,nop,TS val 425332355 ecr 40373885], length 88
09:29:02.919074 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37634:37722, ack 1, win 913, options [nop,nop,TS val 425333358 ecr 40374135], length 88
09:29:03.920937 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37722:37810, ack 1, win 913, options [nop,nop,TS val 425334360 ecr 40374386], length 88
09:29:04.923658 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37810:37898, ack 1, win 913, options [nop,nop,TS val 425335363 ecr 40374636], length 88
09:29:05.926460 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37898:37986, ack 1, win 913, options [nop,nop,TS val 425336366 ecr 40374887], length 88
09:29:06.928379 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 37986:38074, ack 1, win 913, options [nop,nop,TS val 425337368 ecr 40375138], length 88
09:29:07.931167 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38074:38162, ack 1, win 913, options [nop,nop,TS val 425338371 ecr 40375388], length 88
09:29:08.932926 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38162:38250, ack 1, win 913, options [nop,nop,TS val 425339373 ecr 40375639], length 88
09:29:09.935762 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38250:38338, ack 1, win 913, options [nop,nop,TS val 425340376 ecr 40375889], length 88
09:29:10.937614 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38338:38426, ack 1, win 913, options [nop,nop,TS val 425341378 ecr 40376140], length 88
09:29:11.939392 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38426:38514, ack 1, win 913, options [nop,nop,TS val 425342380 ecr 40376390], length 88
09:29:12.942216 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38514:38602, ack 1, win 913, options [nop,nop,TS val 425343383 ecr 40376641], length 88
09:29:13.945031 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38602:38690, ack 1, win 913, options [nop,nop,TS val 425344386 ecr 40376891], length 88
09:29:14.946198 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38690:38748, ack 1, win 913, options [nop,nop,TS val 425345387 ecr 40377142], length 58
09:29:14.947764 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38748:38836, ack 1, win 913, options [nop,nop,TS val 425345389 ecr 40377392], length 88
09:29:15.949684 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38836:38924, ack 1, win 913, options [nop,nop,TS val 425346391 ecr 40377393], length 88
09:29:16.952523 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 38924:39012, ack 1, win 913, options [nop,nop,TS val 425347394 ecr 40377643], length 88
09:29:17.955339 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39012:39100, ack 1, win 913, options [nop,nop,TS val 425348397 ecr 40377894], length 88
09:29:18.958130 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39100:39188, ack 1, win 913, options [nop,nop,TS val 425349400 ecr 40378145], length 88
09:29:19.960970 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39188:39276, ack 1, win 913, options [nop,nop,TS val 425350403 ecr 40378395], length 88
09:29:20.963984 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39276:39364, ack 1, win 913, options [nop,nop,TS val 425351406 ecr 40378646], length 88
09:29:21.966976 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39364:39452, ack 1, win 913, options [nop,nop,TS val 425352409 ecr 40378897], length 88
09:29:22.970649 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39452:39540, ack 1, win 913, options [nop,nop,TS val 425353413 ecr 40379148], length 88
09:29:23.973280 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39540:39628, ack 1, win 913, options [nop,nop,TS val 425354416 ecr 40379399], length 88
09:29:24.976186 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39628:39716, ack 1, win 913, options [nop,nop,TS val 425355419 ecr 40379649], length 88
09:29:25.978027 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39716:39804, ack 1, win 913, options [nop,nop,TS val 425356421 ecr 40379900], length 88
09:29:26.979869 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39804:39892, ack 1, win 913, options [nop,nop,TS val 425357423 ecr 40380150], length 88
09:29:27.981572 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39892:39980, ack 1, win 913, options [nop,nop,TS val 425358425 ecr 40380401], length 88
09:29:28.984378 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 39980:40068, ack 1, win 913, options [nop,nop,TS val 425359428 ecr 40380651], length 88
09:29:29.987334 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40068:40156, ack 1, win 913, options [nop,nop,TS val 425360431 ecr 40380902], length 88
09:29:30.989124 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40156:40244, ack 1, win 913, options [nop,nop,TS val 425361433 ecr 40381153], length 88
09:29:31.990824 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40244:40332, ack 1, win 913, options [nop,nop,TS val 425362435 ecr 40381403], length 88
09:29:32.993669 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40332:40420, ack 1, win 913, options [nop,nop,TS val 425363438 ecr 40381654], length 88
09:29:33.995498 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40420:40508, ack 1, win 913, options [nop,nop,TS val 425364440 ecr 40381904], length 88
09:29:34.998560 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40508:40596, ack 1, win 913, options [nop,nop,TS val 425365443 ecr 40382155], length 88
09:29:36.001198 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40596:40684, ack 1, win 913, options [nop,nop,TS val 425366446 ecr 40382406], length 88
09:29:37.003012 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40684:40772, ack 1, win 913, options [nop,nop,TS val 425367448 ecr 40382656], length 88
09:29:38.004781 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40772:40860, ack 1, win 913, options [nop,nop,TS val 425368450 ecr 40382907], length 88
09:29:39.006613 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40860:40948, ack 1, win 913, options [nop,nop,TS val 425369452 ecr 40383157], length 88
09:29:40.008427 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 40948:41036, ack 1, win 913, options [nop,nop,TS val 425370454 ecr 40383408], length 88
09:29:41.011278 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 41036:41124, ack 1, win 913, options [nop,nop,TS val 425371457 ecr 40383658], length 88
